NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT04953195,Thyroid Replacement Therapy in Patients With Subclinical Hypothyroidism,https://clinicaltrials.gov/study/NCT04953195,NO,Subclinical Hypothyroidisms,DRUG: Levothyroxine Sodium Tablets,ALL,"ADULT, OLDER_ADULT",PHASE4,"Beijing Chao-Yang Hospital, Capital Medical University, Beijing, Beijing, China"
NCT06083636,Improvement of Laboratory Diagnostics in Hypothyroid Patients Using Levothyroxine,https://clinicaltrials.gov/study/NCT06083636,NO,Hypothyroidism,OTHER: Single extra blood draw and completion of single questionnaire|OTHER: Single blood draw and completion of single questionnaire,ALL,"ADULT, OLDER_ADULT",,"Amsterdam UMC, Amsterdam, Noord-Holland, 1105 AZ, Netherlands"
NCT05143918,Quality of Life Among Egyptian Hypothyroid Patients,https://clinicaltrials.gov/study/NCT05143918,NO,Hypothyroidism,OTHER: assessment of quality of life using questionnaire,ALL,ADULT,,
NCT04795947,Correlation Between Thyroid Function and Quality of Life in Hypothyroidism,https://clinicaltrials.gov/study/NCT04795947,NO,Hypothyroidism,BEHAVIORAL: Behavioral,ALL,"ADULT, OLDER_ADULT",,"BeijingCYH, Beijing, Beijing, 100020, China"
NCT06345339,A Study to Assess the Safety and Efficacy of Oral Armour Thyroid Compared to Synthetic T4 for the Treatment of Primary Hypothyroidism in Adult Participants,https://clinicaltrials.gov/study/NCT06345339,NO,Hypothyroidism,DRUG: Armour Thyroid|DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"Central Research Associates /ID# 255719, Birmingham, Alabama, 35205, United States|John Muir Medical Center /ID# 257103, Concord, California, 94520, United States|Diagnamics Inc. /ID# 262680, Encinitas, California, 92024, United States|NorCal Medical Research /ID# 256512, Greenbrae, California, 94904, United States|Velocity Clinical Research - Huntington Park /ID# 259044, Huntington Park, California, 90255-2951, United States|Diabetes Associates Medical Group /ID# 256949, Orange, California, 92866-2862, United States|Care Access - Santa Clarita /ID# 262573, Santa Clarita, California, 91321, United States|Diablo Clinical Research /ID# 261329, Walnut Creek, California, 94598, United States|San Fernando Valley Health Institute /ID# 257363, West Hills, California, 91304-3837, United States|New England Research Associates - Bridgeport /ID# 262184, Bridgeport, Connecticut, 06606, United States|Innovative Research of West Florida /ID# 257356, Clearwater, Florida, 33756-2004, United States|ALL Medical Research /ID# 256748, Cooper City, Florida, 33024, United States|Northeast Research Institute (NERI) /ID# 261841, Fleming Island, Florida, 32003, United States|Northeast Research Institute (NERI) /ID# 261846, Fleming Island, Florida, 32003, United States|The Center for Diabetes and Endocrine Care /ID# 255721, Fort Lauderdale, Florida, 33312, United States|Encore Medical Research LLC /ID# 256758, Hollywood, Florida, 33021, United States|East Coast Institute For Research - LaVilla - West Monroe Street /ID# 256972, Jacksonville, Florida, 32204, United States|The University of Florida Heal /ID# 257361, Jacksonville, Florida, 32207-4966, United States|East Coast Research - Jacksonville /ID# 256971, Jacksonville, Florida, 32216, United States|Encore Research Group-Jacksonville Center for Clinical Research /ID# 256147, Jacksonville, Florida, 32216, United States|South Florida Wellness & Clinic /ID# 256513, Margate, Florida, 33063, United States|Med Research of Florida /ID# 257837, Miami, Florida, 33186, United States|Adult Medicine of Lake County - Mount Dora /ID# 257371, Mount Dora, Florida, 32757, United States|Suncoast Clinical Research Pasco County /ID# 257018, New Port Richey, Florida, 34652, United States|West Orange Endocrinology /ID# 256139, Ocoee, Florida, 34761-4547, United States|Suncoast Clinical Research - Palm Harbor /ID# 256741, Palm Harbor, Florida, 34684, United States|Comprehensive Medical & Research Center /ID# 261678, Plantation, Florida, 33317-2911, United States|Northeast Research institute /ID# 261857, Saint Augustine, Florida, 32080-6010, United States|Metabolic Research Inst /ID# 255729, West Palm Beach, Florida, 33401, United States|East Coast Institute for Research - Canton /ID# 256974, Canton, Georgia, 30114, United States|Columbus Regional Research Ins /ID# 255738, Columbus, Georgia, 31904, United States|Physicians Research Associates, LLC /ID# 255675, Lawrenceville, Georgia, 30046, United States|East Coast Institute for Research - Macon /ID# 256529, Macon, Georgia, 31210, United States|Endocrine Research Solutions /ID# 256784, Roswell, Georgia, 30076, United States|Rocky Mountain Clinical Research, LLC /ID# 256753, Idaho Falls, Idaho, 83404-7596, United States|West Broadway Clinic /ID# 256756, Council Bluffs, Iowa, 51501-3822, United States|Iowa Diabetes and Endocrinology Research Center /ID# 256750, West Des Moines, Iowa, 50265, United States|Cotton O'Neil Digestive Health Center /ID# 256749, Topeka, Kansas, 66606-1539, United States|L-MARC Research Center /ID# 255733, Louisville, Kentucky, 40213-1014, United States|Nola Care Clinical Research /ID# 260145, Metairie, Louisiana, 70006-2930, United States|Omega Clinical Research /ID# 260162, Metairie, Louisiana, 70006-2930, United States|NECCR PrimaCare Research, LLC /ID# 256531, Fall River, Massachusetts, 02721, United States|Metro Detroit Endocrinology Center /ID# 260862, Dearborn, Michigan, 48126, United States|Michigan Healthcare Professionals /ID# 260859, Farmington Hills, Michigan, 48334-1566, United States|Elite Clinical Research Center /ID# 256782, Flint, Michigan, 48532, United States|Diabetes and Endocrinology Specialists /ID# 259068, Chesterfield, Missouri, 63017, United States|Jefferson City Medical Group /ID# 257099, Jefferson City, Missouri, 65109, United States|Billings Clinic /ID# 258316, Billings, Montana, 59101-0733, United States|Mercury Street Medical /ID# 259632, Butte, Montana, 59701-1652, United States|Methodist Physicians Clinic /ID# 259276, Omaha, Nebraska, 68114, United States|Palm Research Center /ID# 256131, Las Vegas, Nevada, 89148, United States|Northern Nevada Endocrinology /ID# 259646, Reno, Nevada, 89511, United States|Southern New Hampshire Diabetes and Endocrinology /ID# 257841, Nashua, New Hampshire, 03060, United States|Research Foundation of SUNY - University of Buffalo /ID# 261019, Buffalo, New York, 14203, United States|NYC Research /ID# 258662, New York, New York, 10001, United States|Endocrine Assc Long Island PC /ID# 257357, Smithtown, New York, 11787, United States|Physician's East Endocrinology /ID# 256491, Greenville, North Carolina, 27834, United States|Carteret Medical Group /ID# 256869, Morehead City, North Carolina, 28557, United States|Lucas Research /ID# 256127, Morehead City, North Carolina, 28557, United States|Lucas Research /ID# 257061, Morehead City, North Carolina, 28557, United States|Accellacare Wilmington /ID# 256744, Wilmington, North Carolina, 28401, United States|Diabetes and Endocrinology Associates of Stark County Inc /ID# 256751, Canton, Ohio, 44718, United States|Lynn Institute of Norman /ID# 256785, Norman, Oklahoma, 73072, United States|Lynn Institute of Oklahoma City /ID# 263141, Oklahoma City, Oklahoma, 73112, United States|Diabetes & Endocrinology Consultants of Pennsylvania /ID# 259064, Feasterville-Trevose, Pennsylvania, 19053, United States|Jefferson Health - Roosevelt Boulevard /ID# 256837, Philadelphia, Pennsylvania, 19114-1025, United States|Trial Management Associates - Myrtle Beach /ID# 259800, Myrtle Beach, South Carolina, 29572, United States|Carolina Endocrine Associates Llc /ID# 259640, North Charleston, South Carolina, 29406-9823, United States|Chattanooga Medical Research /ID# 257631, Chattanooga, Tennessee, 37404-3239, United States|Mid State Endocrine Associates /ID# 259641, Nashville, Tennessee, 37203, United States|Texas Diabetes and Endocrinology - Central Austin /ID# 255728, Austin, Texas, 78731, United States|Texas Diabetes and Endocrinology - South Austin /ID# 255723, Austin, Texas, 78749, United States|Brusco, Corpus Christi, TX /ID# 256746, Corpus Christi, Texas, 78414, United States|North TX Endocrine Center /ID# 255737, Dallas, Texas, 75231, United States|Research Institute Dallas /ID# 256126, Dallas, Texas, 75231, United States|Academy of Diabetes, Thyroid and Endocrine /ID# 255735, El Paso, Texas, 79935, United States|Diabetes and Thyroid Center of Ft. Worth /ID# 256781, Fort Worth, Texas, 76132, United States|Juno Research /ID# 259238, Houston, Texas, 77040-5059, United States|Biopharma Informatic - Houston - Business Center Drive /ID# 256149, Houston, Texas, 77043, United States|PlanIt Research, PLLC /ID# 259221, Houston, Texas, 77079-2204, United States|Endocrine and Psychiatry Cente /ID# 259631, Houston, Texas, 77095, United States|Tekton Research /ID# 260988, Irving, Texas, 75039-2523, United States|Southern Endocrinology Associates /ID# 256795, Mesquite, Texas, 75149, United States|Texas Diabetes and Endocrinology /ID# 255722, Round Rock, Texas, 78681, United States|Northeast Clinical Research of San Antonio, LLC /ID# 256868, San Antonio, Texas, 78233, United States|Diabetes & Glandular Disease Clinic /ID# 255734, San Antonio, Texas, 78237, United States|Consano Clinical Research, LLC /ID# 256138, Shavano Park, Texas, 78231, United States|Texas Valley Clinical Research /ID# 261476, Weslaco, Texas, 78596, United States|Virginia Endocrinology Research /ID# 259623, Chesapeake, Virginia, 23321, United States|Rainier Clinical Research /ID# 255802, Renton, Washington, 98055, United States"
NCT05334771,Early Detection of Endolymphatic Hydrops in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT05334771,NO,Hypothyroidism,DEVICE: Dual band pure tune audiometer,ALL,ADULT,,
NCT05015725,"The Relationship Between Serum rT3 Concentrations, T3/T4 Ratio, and Symptoms/Quality of Life in Treated Hypothyroid Patients",https://clinicaltrials.gov/study/NCT05015725,NO,Hypothyroidism,"DIAGNOSTIC_TEST: Quality of life assessment, biochemical measures",ALL,"ADULT, OLDER_ADULT",,"Semmelweis University - Departement Medicine and Oncology, Budapest, 1083, Hungary"
NCT05823012,Study of XP-8121 For the Treatment of Adult Subjects With Hypothyroidism,https://clinicaltrials.gov/study/NCT05823012,NO,Hypothyroidism,DRUG: levothyroxine sodium,ALL,"ADULT, OLDER_ADULT",PHASE2,"ProSciento, Inc., Chula Vista, California, 91911, United States|Catalina Research Institute, L.L.C., Montclair, California, 91763, United States|Panax Clinical Research, LLC, Miami Lakes, Florida, 33014, United States|American Research Corporation, San Antonio, Texas, 78215, United States|Mt. Olympus Medical Research, LLC, Sugar Land, Texas, 77479, United States|Rainier Clinical Research Center, Renton, Washington, 98057, United States"
NCT04878614,Comparison of Levothyroxine Formulation in Hypothyroid Patients With Enteral Feeding,https://clinicaltrials.gov/study/NCT04878614,NO,Hypothyroidism,DRUG: Levothyroxine Tablet|DRUG: Levothyroxine Sodium,ALL,"ADULT, OLDER_ADULT",PHASE4,"UCLA Center for Human Nutrition, Los Angeles, California, 90024, United States"
NCT04236232,The Impact of Subclinical Hypothyroidism on Cardiovascular System,https://clinicaltrials.gov/study/NCT04236232,NO,Hypothyroidism,DIAGNOSTIC_TEST: Thyroid function,ALL,ADULT,,
